file,has_player,has_enemy,solvable,wall_ratio,interior_wall_density,walkable_cells,reachable_ratio,shortest_path_length,path_norm,dead_end_ratio,branching_ratio,leniency,astar_difficulty,difficulty_score,score_tier,range_tier
pcgnn_793.txt,True,True,True,0.3828125,0.39,632,0.9556962025316456,66,1.03125,0.02689873417721519,0.3829113924050633,0.9701492537313433,0.8496835443037974,0.5976760284810126,medium,unclassified
pcgnn_794.txt,True,True,True,0.3291015625,0.33444444444444443,687,0.9985443959243085,62,0.96875,0.026200873362445413,0.5283842794759825,0.9841269841269841,0.9068413391557496,0.5790593442958515,medium,unclassified
pcgnn_795.txt,True,True,True,0.40234375,0.4077777777777778,612,1.0,87,1.359375,0.04738562091503268,0.31209150326797386,0.9772727272727273,0.8562091503267973,0.6086116217320261,medium,unclassified
pcgnn_796.txt,True,True,True,0.3076171875,0.31444444444444447,709,0.9308885754583921,61,0.953125,0.021156558533145273,0.5937940761636107,0.9838709677419355,0.843441466854725,0.5566264379848378,medium,unclassified
pcgnn_797.txt,True,True,True,0.3095703125,0.31333333333333335,707,0.9957567185289957,61,0.953125,0.024045261669024046,0.5884016973125884,0.9838709677419355,0.9080622347949081,0.5674832313030409,medium,unclassified
pcgnn_798.txt,True,True,True,0.3681640625,0.37,647,0.9891808346213292,66,1.03125,0.03554868624420402,0.45440494590417313,0.9701492537313433,0.8856259659969088,0.6004028508983771,medium,unclassified
pcgnn_799.txt,True,True,True,0.3466796875,0.3566666666666667,669,0.9835575485799701,61,0.953125,0.03288490284005979,0.4633781763826607,0.967741935483871,0.890881913303438,0.5778069238135276,medium,unclassified
pcgnn_800.txt,True,True,True,0.1787109375,0.18888888888888888,841,1.0,62,0.96875,0.005945303210463734,0.807372175980975,1.0,0.925089179548157,0.5326282188243162,medium,unclassified
pcgnn_801.txt,True,True,True,0.39453125,0.4066666666666667,620,0.9758064516129032,93,1.453125,0.037096774193548385,0.3209677419354839,0.9787234042553191,0.8241935483870968,0.5994077620967742,medium,unclassified
pcgnn_802.txt,True,True,True,0.3984375,0.4033333333333333,616,0.9967532467532467,92,1.4375,0.040584415584415584,0.32142857142857145,0.978494623655914,0.8457792207792207,0.6045150162337662,medium,unclassified
pcgnn_803.txt,True,True,True,0.23828125,0.24666666666666667,780,1.0,61,0.953125,0.010256410256410256,0.7230769230769231,0.9838709677419355,0.9205128205128205,0.5452063301282051,medium,unclassified
pcgnn_804.txt,True,True,True,0.39453125,0.3988888888888889,620,0.9338709677419355,62,0.96875,0.03387096774193549,0.3193548387096774,0.9841269841269841,0.832258064516129,0.5890347782258064,medium,unclassified
pcgnn_805.txt,True,True,True,0.4306640625,0.43666666666666665,583,0.5197255574614065,85,1.328125,0.04631217838765009,0.22641509433962265,0.9767441860465116,0.37221269296740994,0.5442935583726415,medium,unclassified
pcgnn_806.txt,True,True,True,0.2509765625,0.24888888888888888,767,1.0,61,0.953125,0.011734028683181226,0.7170795306388527,1.0,0.9191655801825294,0.5491083615140155,medium,unclassified
pcgnn_807.txt,True,True,True,0.21484375,0.22111111111111112,804,1.0,62,0.96875,0.007462686567164179,0.7736318407960199,1.0,0.9216417910447762,0.5432544309701492,medium,unclassified
pcgnn_808.txt,True,True,True,0.423828125,0.43222222222222223,590,0.9830508474576272,79,1.234375,0.03898305084745763,0.2423728813559322,0.9875,0.847457627118644,0.6120636917372881,medium,unclassified
pcgnn_809.txt,True,True,True,0.3671875,0.37444444444444447,648,0.9984567901234568,77,1.203125,0.024691358024691357,0.4351851851851852,0.9871794871794872,0.8780864197530864,0.5968074845679012,medium,unclassified
pcgnn_810.txt,True,True,True,0.28125,0.2822222222222222,736,1.0,62,0.96875,0.019021739130434784,0.6399456521739131,0.9841269841269841,0.9144021739130435,0.5644021739130435,medium,unclassified
pcgnn_811.txt,True,True,True,0.3486328125,0.3511111111111111,667,1.0,62,0.96875,0.03298350824587706,0.4587706146926537,0.9841269841269841,0.9055472263868066,0.5860811293571964,medium,unclassified
pcgnn_812.txt,True,True,True,0.3447265625,0.3522222222222222,671,0.9940387481371088,62,0.96875,0.02384500745156483,0.481371087928465,0.9682539682539683,0.9001490312965723,0.5822718249347988,medium,unclassified
pcgnn_813.txt,True,True,True,0.2578125,0.2577777777777778,760,1.0,62,0.96875,0.018421052631578946,0.6736842105263158,0.9841269841269841,0.9171052631578948,0.55765625,medium,unclassified
pcgnn_814.txt,True,True,True,0.330078125,0.33111111111111113,686,0.9897959183673469,62,0.96875,0.029154518950437316,0.5422740524781341,0.9841269841269841,0.8979591836734694,0.5786107188411078,medium,unclassified
pcgnn_815.txt,True,True,True,0.265625,0.2677777777777778,752,1.0,62,0.96875,0.0199468085106383,0.6662234042553191,1.0,0.9162234042553191,0.5601728723404255,medium,unclassified
pcgnn_816.txt,True,True,True,0.3583984375,0.35444444444444445,657,0.9969558599695586,76,1.1875,0.0319634703196347,0.4459665144596651,0.987012987012987,0.8797564687975646,0.5958756956335616,medium,unclassified
pcgnn_817.txt,True,True,True,0.3271484375,0.33444444444444443,689,1.0,68,1.0625,0.02467343976777939,0.5181422351233672,0.9855072463768116,0.8998548621190131,0.5880574485214078,medium,unclassified
pcgnn_818.txt,True,True,True,0.32421875,0.3233333333333333,692,1.0,62,0.96875,0.02745664739884393,0.5491329479768786,0.9682539682539683,0.9089595375722543,0.5781633851156068,medium,unclassified
pcgnn_819.txt,True,True,True,0.2216796875,0.2288888888888889,797,1.0,62,0.96875,0.0075282308657465494,0.7641154328732748,0.9841269841269841,0.9209535759096612,0.5452150888095985,medium,unclassified
pcgnn_820.txt,True,True,True,0.3837890625,0.3811111111111111,631,1.0,82,1.28125,0.039619651347068144,0.38351822503961963,0.9759036144578314,0.8684627575277337,0.6033300626485736,medium,unclassified
pcgnn_821.txt,True,True,True,0.4296875,0.4266666666666667,584,0.7791095890410958,75,1.171875,0.04965753424657534,0.238013698630137,0.9736842105263158,0.648972602739726,0.5861836472602739,medium,unclassified
pcgnn_822.txt,True,True,True,0.396484375,0.4022222222222222,618,0.9983818770226537,80,1.25,0.043689320388349516,0.313915857605178,0.9753086419753086,0.8673139158576052,0.6077802639563107,medium,unclassified
pcgnn_823.txt,True,True,True,0.326171875,0.3322222222222222,690,1.0,62,0.96875,0.020289855072463767,0.5217391304347826,0.9841269841269841,0.908695652173913,0.5772763813405797,medium,unclassified
pcgnn_824.txt,True,True,True,0.2431640625,0.24888888888888888,775,1.0,61,0.953125,0.0064516129032258064,0.7148387096774194,1.0,0.92,0.5458332913306452,medium,unclassified
pcgnn_825.txt,True,True,True,0.33984375,0.3477777777777778,676,0.9985207100591716,68,1.0625,0.023668639053254437,0.48372781065088755,0.9855072463768116,0.8964497041420119,0.5911543084319526,medium,unclassified
pcgnn_826.txt,True,True,True,0.3037109375,0.30666666666666664,713,1.0,62,0.96875,0.016830294530154277,0.5624123422159888,0.9841269841269841,0.9116409537166901,0.5702879832135344,medium,unclassified
pcgnn_827.txt,True,True,True,0.29296875,0.3011111111111111,724,0.9986187845303868,72,1.125,0.023480662983425413,0.6022099447513812,1.0,0.8977900552486188,0.5772552658839779,medium,unclassified
pcgnn_828.txt,True,True,True,0.3369140625,0.34555555555555556,679,1.0,62,0.96875,0.01914580265095729,0.5095729013254786,0.9841269841269841,0.9072164948453608,0.5800483535069956,medium,unclassified
pcgnn_829.txt,True,True,True,0.326171875,0.3288888888888889,690,0.9985507246376811,61,0.953125,0.02318840579710145,0.527536231884058,0.967741935483871,0.908695652173913,0.5723873414855072,medium,unclassified
pcgnn_830.txt,True,True,True,0.2822265625,0.2866666666666667,735,0.9850340136054422,62,0.96875,0.01904761904761905,0.6244897959183674,0.9841269841269841,0.8993197278911564,0.5624379517431972,medium,unclassified
pcgnn_831.txt,True,True,True,0.23828125,0.24222222222222223,780,1.0,62,0.96875,0.011538461538461539,0.732051282051282,0.9841269841269841,0.9192307692307692,0.5507391826923076,medium,unclassified
pcgnn_832.txt,True,True,True,0.3984375,0.4022222222222222,616,0.8814935064935064,78,1.21875,0.03896103896103896,0.3409090909090909,0.9873417721518988,0.7532467532467533,0.5903104707792207,medium,unclassified
pcgnn_833.txt,True,True,True,0.2568359375,0.2611111111111111,761,1.0,62,0.96875,0.01576872536136662,0.6727989487516426,0.9841269841269841,0.9172141918528253,0.5568491551001971,medium,unclassified
pcgnn_834.txt,True,True,True,0.2099609375,0.21222222222222223,809,1.0,62,0.96875,0.006180469715698393,0.7700865265760197,0.9841269841269841,0.9221260815822002,0.5416057874304697,medium,unclassified
pcgnn_835.txt,True,True,True,0.279296875,0.28555555555555556,738,1.0,62,0.96875,0.02032520325203252,0.6395663956639567,0.9682539682539683,0.9146341463414634,0.5641117251016261,medium,unclassified
pcgnn_836.txt,True,True,True,0.2734375,0.27555555555555555,744,0.9986559139784946,62,0.96875,0.01747311827956989,0.6532258064516129,0.9682539682539683,0.9139784946236559,0.5616851478494623,medium,unclassified
pcgnn_837.txt,True,True,True,0.306640625,0.32222222222222224,710,0.9929577464788732,62,0.96875,0.018309859154929577,0.5661971830985916,0.9682539682539683,0.9042253521126761,0.5703504621478873,medium,unclassified
pcgnn_838.txt,True,True,True,0.2939453125,0.29888888888888887,723,1.0,62,0.96875,0.013831258644536652,0.6016597510373444,0.9841269841269841,0.9128630705394191,0.5669418060598201,medium,unclassified
pcgnn_839.txt,True,True,True,0.2685546875,0.27444444444444444,749,1.0,62,0.96875,0.017356475300400534,0.6555407209612817,0.9841269841269841,0.9158878504672897,0.5604833788801735,medium,unclassified
pcgnn_840.txt,True,True,True,0.33203125,0.3377777777777778,684,0.9985380116959064,62,0.96875,0.021929824561403508,0.5146198830409356,0.9682539682539683,0.9064327485380117,0.5790227521929825,medium,unclassified
pcgnn_841.txt,True,True,True,0.3935546875,0.4011111111111111,621,0.9919484702093397,83,1.296875,0.0322061191626409,0.3462157809983897,0.9880952380952381,0.856682769726248,0.6030100455414653,medium,unclassified
pcgnn_842.txt,True,True,True,0.294921875,0.29777777777777775,722,1.0,62,0.96875,0.0221606648199446,0.5997229916897507,0.9841269841269841,0.9127423822714681,0.5688825528047091,medium,unclassified
pcgnn_843.txt,True,True,True,0.2587890625,0.26666666666666666,759,1.0,62,0.96875,0.014492753623188406,0.6772068511198946,0.9841269841269841,0.9169960474308301,0.5571471765892622,medium,unclassified
pcgnn_844.txt,True,True,True,0.255859375,0.2611111111111111,762,1.0,61,0.953125,0.011811023622047244,0.6929133858267716,0.9838709677419355,0.9186351706036745,0.5505090428149606,medium,unclassified
pcgnn_845.txt,True,True,True,0.376953125,0.3844444444444444,638,1.0,78,1.21875,0.032915360501567396,0.3824451410658307,0.9873417721518988,0.8761755485893417,0.6010953418887147,medium,unclassified
pcgnn_846.txt,True,True,True,0.2841796875,0.2922222222222222,733,1.0,62,0.96875,0.017735334242837655,0.6207366984993179,0.9682539682539683,0.9140518417462483,0.5649712493605048,medium,unclassified
pcgnn_847.txt,True,True,True,0.21875,0.21777777777777776,800,1.0,62,0.96875,0.015,0.7625,1.0,0.92125,0.545875,medium,unclassified
pcgnn_848.txt,True,True,True,0.396484375,0.38555555555555554,618,0.9983818770226537,74,1.15625,0.0372168284789644,0.3592233009708738,0.9733333333333334,0.8770226537216829,0.6079420762540453,medium,unclassified
pcgnn_849.txt,True,True,True,0.2099609375,0.21333333333333335,809,1.0,62,0.96875,0.007416563658838072,0.7737948084054388,0.9841269841269841,0.9221260815822002,0.5418530062190976,medium,unclassified
pcgnn_850.txt,True,True,True,0.353515625,0.3566666666666667,662,0.9954682779456193,62,0.96875,0.03172205438066465,0.4652567975830816,0.9682539682539683,0.9003021148036254,0.5865069155966767,medium,unclassified
pcgnn_851.txt,True,True,True,0.4130859375,0.41444444444444445,601,0.9883527454242929,106,1.65625,0.04991680532445923,0.30449251247920134,0.9813084112149533,0.8103161397670549,0.60545656327995,medium,unclassified
pcgnn_852.txt,True,True,True,0.392578125,0.4077777777777778,622,1.0,104,1.625,0.03536977491961415,0.33762057877813506,0.9809523809523809,0.8311897106109325,0.5995258490755627,medium,unclassified
pcgnn_853.txt,True,True,True,0.3994140625,0.4066666666666667,615,0.9121951219512195,76,1.1875,0.03414634146341464,0.34308943089430893,0.974025974025974,0.7869918699186992,0.5947022675304878,medium,unclassified
pcgnn_854.txt,True,True,True,0.3544921875,0.37222222222222223,661,0.9803328290468987,66,1.03125,0.0226928895612708,0.4402420574886536,0.9850746268656716,0.8789712556732224,0.5927319225132375,medium,unclassified
pcgnn_855.txt,True,True,True,0.2646484375,0.2644444444444444,753,1.0,62,0.96875,0.0199203187250996,0.6852589641434262,0.9841269841269841,0.9163346613545816,0.5598912941982072,medium,unclassified
pcgnn_856.txt,True,True,True,0.2451171875,0.24444444444444444,773,0.9987063389391979,61,0.953125,0.015523932729624839,0.7179818887451488,0.967741935483871,0.9184993531694696,0.5480085957713454,medium,unclassified
pcgnn_857.txt,True,True,True,0.255859375,0.2611111111111111,762,1.0,61,0.953125,0.011811023622047244,0.7099737532808399,0.9838709677419355,0.9186351706036745,0.5505090428149606,medium,unclassified
pcgnn_858.txt,True,True,True,0.2587890625,0.2644444444444444,759,1.0,61,0.953125,0.019762845849802372,0.6732542819499341,0.9838709677419355,0.9183135704874835,0.5529300734930829,medium,unclassified
pcgnn_859.txt,True,True,True,0.3271484375,0.32222222222222224,689,0.988388969521045,61,0.953125,0.026124818577648767,0.5573294629898403,1.0,0.8984034833091437,0.5717237674619013,medium,unclassified
pcgnn_860.txt,True,True,True,0.3203125,0.3288888888888889,696,0.9885057471264368,78,1.21875,0.02586206896551724,0.5373563218390804,0.9746835443037974,0.875,0.5825161637931034,medium,unclassified
pcgnn_861.txt,True,True,True,0.2685546875,0.28,749,1.0,62,0.96875,0.014686248331108143,0.6568758344459279,0.9682539682539683,0.9158878504672897,0.559949333486315,medium,unclassified
pcgnn_862.txt,True,True,True,0.1865234375,0.19777777777777777,833,1.0,62,0.96875,0.0012004801920768306,0.8307322929171669,1.0,0.9243697478991597,0.5339150894732894,medium,unclassified
